Pad No.,TaFeSb,VFeSb,NbFeSb,log_sigma,Sigma_E0
1,1,0,0,5.181417656,151851
2,0.9,0.1,0,,
3,0.8,0.2,0,,
4,0.75,0.25,0,4.874797008,74954.37863
5,0.7,0.3,0,,
6,0.6,0.4,0,,
7,0.5,0.5,0,,
8,0.4,0.599999999,0,,
9,0.37,0.63,0,4.725668598,53170.23725
10,0.300000001,0.699999999,0,,
11,0.200000001,0.799999999,0,,
12,0.100000001,0.899999999,0,,
13,0,0.999999999,0,4.992566772,98303
14,0.9,0,0.1,,
15,0.8,0.1,0.1,,
16,0.7,0.2,0.1,,
17,0.6,0.3,0.1,,
18,0.5,0.4,0.1,,
19,0.4,0.5,0.1,,
20,0.300000001,0.599999999,0.1,,
21,0.200000001,0.699999999,0.1,,
22,0.100000001,0.799999999,0.1,,
23,0,0.899999999,0.1,4.547702659,35294.14444
24,0.8,0,0.2,4.914844361,82194.80331
25,0.7,0.1,0.2,,
26,0.6,0.2,0.2,,
27,0.5,0.3,0.2,,
28,0.4,0.4,0.2,,
29,0.300000001,0.5,0.2,,
30,0.200000001,0.599999999,0.2,4.61863661,41556.27488
31,0.100000001,0.699999999,0.2,,
32,0,0.799999999,0.2,4.645255999,44183.08119
33,0.7,0,0.3,,
34,0.6,0.1,0.3,,
35,0.5,0.2,0.3,,
36,0.4,0.3,0.3,,
37,0.33,0.33,0.33,4.652048251,44879.52494
38,0.300000001,0.4,0.3,,
39,0.200000001,0.5,0.3,,
40,0.100000001,0.599999999,0.3,,
41,0,0.699999999,0.3,4.708442379,51102.52731
42,0.6,0,0.4,,
43,0.5,0.1,0.4,,
44,0.4,0.2,0.4,,
45,0.300000001,0.3,0.4,,
46,0.200000001,0.4,0.4,,
47,0.100000001,0.5,0.4,,
48,0,0.599999999,0.4,4.443320206,27753.65631
49,0.5,0,0.5,5.134959425,136445.5654
50,0.4,0.1,0.5,,
51,0.300000001,0.2,0.5,,
52,0.200000001,0.3,0.5,,
53,0.100000001,0.4,0.5,,
54,0,0.5,0.5,,
55,0.4,0,0.599999999,,
56,0.300000001,0.1,0.599999999,,
57,0.200000001,0.2,0.599999999,,
58,0.100000001,0.3,0.599999999,,
59,0,0.4,0.599999999,,
60,0.300000001,0,0.699999999,,
61,0.200000001,0.1,0.699999999,4.944288795,87960.72388
62,0.100000001,0.2,0.699999999,,
63,0,0.3,0.699999999,,
64,0.200000001,0,0.799999999,5.0862762,121976.509
65,0.100000001,0.1,0.799999999,,
66,0,0.2,0.799999999,,
67,0.100000001,0,0.899999999,,
68,0,0.1,0.899999999,,
69,0,0,0.999999999,5.158145291,143928
