Pad No.,HfNiSn,TiNiSn,ZrNiSn,Sigma_E0
1,0,0,1,110569.3886
2,0,0.1,0.9,114723.4397
3,0,0.2,0.8,
4,0,0.3,0.7,
5,0,0.4,0.6,
6,0,0.5,0.5,63378.92041
7,0,0.599999999,0.4,
8,0,0.699999999,0.300000001,
9,0,0.799999999,0.200000001,
10,0,0.899999999,0.100000001,
12,0.1,0,0.9,107439.2636
13,0.1,0.1,0.8,
14,0.1,0.2,0.7,
15,0.1,0.3,0.6,
16,0.1,0.4,0.5,
17,0.1,0.5,0.4,
18,0.1,0.599999999,0.300000001,
19,0.1,0.699999999,0.200000001,
20,0.1,0.799999999,0.100000001,
21,0.1,0.899999999,0,
22,0.2,0,0.8,
23,0.2,0.1,0.7,
24,0.2,0.2,0.6,
25,0.2,0.3,0.5,
26,0.2,0.4,0.4,
27,0.2,0.5,0.300000001,
28,0.2,0.599999999,0.200000001,
29,0.2,0.699999999,0.100000001,
30,0.2,0.799999999,0,
31,0.3,0,0.7,
32,0.3,0.1,0.6,
33,0.3,0.2,0.5,
34,0.3,0.3,0.4,
35,0.3,0.4,0.300000001,
36,0.3,0.5,0.200000001,
37,0.3,0.599999999,0.100000001,
38,0.3,0.699999999,0,
39,0.4,0,0.6,88002.24138
40,0.4,0.1,0.5,
41,0.4,0.2,0.4,
42,0.4,0.3,0.300000001,
43,0.4,0.4,0.200000001,
44,0.4,0.5,0.100000001,
45,0.4,0.599999999,0,
46,0.5,0,0.5,82423.01234
47,0.5,0.1,0.4,
48,0.5,0.2,0.300000001,81809.0958
49,0.5,0.3,0.200000001,81809.0958
50,0.5,0.4,0.100000001,
51,0.5,0.5,0,
52,0.599999999,0,0.4,85158.4292
53,0.599999999,0.1,0.300000001,
54,0.599999999,0.2,0.200000001,
55,0.599999999,0.3,0.100000001,
56,0.599999999,0.4,0,
57,0.699999999,0,0.300000001,72348.14731
58,0.699999999,0.1,0.200000001,
59,0.699999999,0.2,0.100000001,
60,0.699999999,0.3,0,
61,0.799999999,0,0.200000001,93747.98169
62,0.799999999,0.1,0.100000001,
63,0.799999999,0.2,0,
64,0.899999999,0,0.100000001,
65,0.899999999,0.1,0,
66,0.999999999,0,0,85915
67,0, 1.0, 0, 83240.659250
68, 0.05, 0.95, 0, 116606.250112
69, 0.2, 0.8, 0, 69412
